id,salary,salary_bracket,age,age_bracket,education,education_level,car_brand,car_brandname,region,US_region,credit_score,computer_brand,computer_brandname
1,27706,"Below Minimum",41,"Middle Age",4,Postgraduate,16,Nissan,5,"East South Central",213909,1,Sony
2,68420,Minimum,26,"Young Adult",4,Postgraduate,14,"Mercedes Benz",2,"East North Central",485035,0,Acer
3,54649,"Below Minimum",32,"Middle Age",2,"Less than College",10,Jeep,3,"West North Central",291652,0,Acer
4,104742,High,62,"Old Age",4,Postgraduate,17,Ram,4,"South Atlantic",0,1,Sony
5,83500,Middle,78,"Old Age",4,Postgraduate,19,Toyota,3,"West North Central",211182,1,Sony
6,45258,"Below Minimum",40,"Middle Age",2,"Less than College",11,Kia,4,"South Atlantic",374851,1,Sony
7,22083,"Below Minimum",52,"Old Age",1,"High School",14,"Mercedes Benz",7,Mountain,87644,1,Sony
8,53823,"Below Minimum",70,"Old Age",4,Postgraduate,4,Chevrolet,6,"West South Central",248389,0,Acer
9,67854,Minimum,67,"Old Age",4,Postgraduate,13,Mazda,6,"West South Central",1904,0,Acer
10,110526,High,46,"Old Age",2,"Less than College",9,Hyundai,2,"East North Central",327896,0,Acer
11,32160,"Below Minimum",33,"Middle Age",1,"High School",13,Mazda,1,Mid-Atlantic,394305,1,Sony
12,115222,High,42,"Middle Age",3,College,12,Lincoln,8,Pacific,460387,0,Acer
13,44681,"Below Minimum",43,"Middle Age",0,"Less than High School",19,Toyota,8,Pacific,33694,1,Sony
14,84021,Middle,72,"Old Age",4,Postgraduate,11,Kia,4,"South Atlantic",334106,1,Sony
15,140251,High,46,"Old Age",0,"Less than High School",15,Mitsubishi,2,"East North Central",120849,1,Sony
16,109830,High,24,"Young Adult",1,"High School",9,Hyundai,8,Pacific,144157,1,Sony
17,119807,High,45,"Middle Age",0,"Less than High School",14,"Mercedes Benz",4,"South Atlantic",442038,0,Acer
18,140785,High,60,"Old Age",4,Postgraduate,3,Cadillac,4,"South Atlantic",485468,1,Sony
19,31457,"Below Minimum",75,"Old Age",3,College,6,Dodge,7,Mountain,187176,0,Acer
20,102211,High,38,"Middle Age",3,College,8,Honda,0,"New England",234592,1,Sony
21,104364,High,29,"Young Adult",2,"Less than College",15,Mitsubishi,8,Pacific,71762,1,Sony
22,106880,High,63,"Old Age",1,"High School",11,Kia,6,"West South Central",45007,1,Sony
23,125201,High,59,"Old Age",2,"Less than College",17,Ram,6,"West South Central",233400,1,Sony
24,58090,"Below Minimum",45,"Middle Age",2,"Less than College",9,Hyundai,5,"East South Central",460439,1,Sony
25,57418,"Below Minimum",67,"Old Age",2,"Less than College",11,Kia,8,Pacific,245629,0,Acer
26,78021,Minimum,23,"Young Adult",0,"Less than High School",15,Mitsubishi,2,"East North Central",48795,0,Acer
27,114451,High,68,"Old Age",3,College,18,Subaru,5,"East South Central",83259,1,Sony
28,138484,High,34,"Middle Age",4,Postgraduate,17,Ram,7,Mountain,158933,1,Sony
29,63690,"Below Minimum",51,"Old Age",3,College,6,Dodge,5,"East South Central",40889,1,Sony
30,27229,"Below Minimum",39,"Middle Age",0,"Less than High School",19,Toyota,1,Mid-Atlantic,365463,1,Sony
31,43330,"Below Minimum",22,"Young Adult",3,College,4,Chevrolet,0,"New England",370847,1,Sony
32,120233,High,70,"Old Age",2,"Less than College",16,Nissan,8,Pacific,91006,1,Sony
33,134512,High,26,"Young Adult",2,"Less than College",12,Lincoln,4,"South Atlantic",55480,1,Sony
34,50874,"Below Minimum",20,"Young Adult",3,College,14,"Mercedes Benz",4,"South Atlantic",352951,0,Acer
35,128444,High,52,"Old Age",0,"Less than High School",6,Dodge,6,"West South Central",365415,1,Sony
36,137795,High,24,"Young Adult",0,"Less than High School",13,Mazda,2,"East North Central",216482,1,Sony
37,32881,"Below Minimum",67,"Old Age",0,"Less than High School",11,Kia,1,Mid-Atlantic,376424,0,Acer
